"Year","Source","TextFile","Characters","Lines"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-05-21.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-05-21.txt","5884","93"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-06-18.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-06-18.txt","5804","89"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-07-09.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-07-09.txt","4353","58"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-07-23.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-07-23.txt","2230","43"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-08-06.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-08-06.txt","5180","71"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-09-12.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-09-12.txt","2776","51"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-09-24.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-09-24.txt","6760","101"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-09-30.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-09-30.txt","4507","79"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-10-17.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-10-17.txt","1330","43"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-10-24.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-10-24.txt","2369","56"
"2024","C:\Users\Usuario\Documents\Jordi\_actes_zips_2024_2026_raw\2024\2024-11-12.docx","C:\Users\Usuario\Documents\Jordi\_extraccio_actes_2024_2026\2024\2024-11-12.txt","5317","61"
